o_oid|o_cid|o_cname|o_date|o_status|o_sid
2179055|25|Diego Costa|2017-04-14|Y|A007
2179056|26|Hannes Halldorsson|2018-05-15|Y|A008
2179057|27|Thomas Muller|2018-06-16|Y|A004
2179059|29|Neymar|2018-09-18|Y|A003
2179060|30|James Rodriguez|2018-09-29|Y|A004
2179061|1|Cinderella|2012-01-15|Y|A005
2179062|2|Henry|2012-01-15|Y|A006
2179063|3|Ariel|2013-06-20|Y|A007
2179064|4|Eric|2013-06-20|Y|A008
2179065|5|Belle|2014-02-12|Y|A001
2179066|6|Adam|2014-02-12|Y|A002
2179067|7|Jasmine|2015-11-11|Y|A004
2179068|8|Aladdin|2015-11-11|Y|A004
2179069|9|Mulan|2015-12-12|Y|A004
2179070|10|Li Shang|2015-12-12|Y|A006
2179071|11|Kevin Durant|2016-05-01|Y|A007
2179072|12|Kawhi Leonard|2016-06-01|Y|A008
2179073|13|James Harden|2016-07-01|Y|A001
2179074|14|Anthony Davis|2016-08-01|Y|A002
2179075|15|LeBron James|2016-09-01|Y|A007
2179076|16|Jeff Bezos|2017-03-13|Y|A004
2179077|17|Bill Gates|2017-04-14|Y|A005
2179078|18|Warren Buffett|2017-05-15|Y|A006
2179079|19|Bernard Arnault|2017-06-16|Y|A007
2179080|20|Mark Zuckerberg|2017-07-17|Y|A008
2179081|21|Alice Walton|2017-08-18|Y|A001
2179082|22|Susanne Klatten|2017-09-19|Y|A002
2179083|23|Laurene |2017-10-29|Y|A003
2179084|24|Abigail Johnson|2018-03-13|Y|A006
2179085|25|Diego Costa|2018-04-14|Y|A003
2179086|26|Hannes Halldorsson|2018-06-15|Y|A006
2179087|27|Thomas Muller|2018-07-16|Y|A007
2179089|29|Neymar|2018-10-18|Y|A007
2179090|30|James Rodriguez|2018-10-29|Y|A006
2179091|1|Cinderella|2013-01-15|Y|A003
2179092|2|Henry|2013-01-15|Y|A004
2179093|3|Ariel|2014-06-20|Y|A005
2179094|4|Eric|2014-06-20|Y|A006
2179095|5|Belle|2015-02-12|Y|A007
2179096|6|Adam|2015-02-12|Y|A007
2179097|7|Jasmine|2016-11-11|Y|A001
2179098|8|Aladdin|2016-11-11|Y|A002
2179099|9|Mulan|2016-12-12|Y|A006
2179100|10|Li Shang|2017-12-12|Y|A004
2179101|11|Kevin Durant|2017-05-01|Y|A005
2179102|12|Kawhi Leonard|2017-06-01|Y|A006
2179103|13|James Harden|2017-07-01|Y|A007
2179104|14|Anthony Davis|2017-08-01|Y|A007
2179105|15|LeBron James|2017-09-01|Y|A001
2179106|16|Jeff Bezos|2018-03-13|Y|A006
2179107|17|Bill Gates|2018-04-14|Y|A005
2179108|18|Warren Buffett|2018-05-15|Y|A004
2179109|19|Bernard Arnault|2018-06-16|Y|A005
2179110|20|Mark Zuckerberg|2018-07-17|Y|A006
2179112|22|Susanne Klatten|2018-09-19|Y|A008
2179114|24|Abigail Johnson|2018-04-13|Y|A002
2179115|25|Diego Costa|2018-05-14|Y|A003
2179116|26|Hannes Halldorsson|2018-07-15|Y|A004
2179117|27|Thomas Muller|2018-08-16|Y|A005
2179118|28|Lionel Messi|2018-08-16|Y|A006
2179120|30|James Rodriguez|2018-08-16|Y|A005
2179058|28|Lionel Messi|2018-08-17|N|A002
2179088|28|Lionel Messi|2018-09-17|N|A004
2179111|21|Alice Walton|2018-08-18|N|A006
2179113|23|Laurene |2018-10-29|N|A005
2179119|29|Neymar|2018-08-16|N|A007
